wardpc,wardname,province,district,alt_name,districtpc,provincepc,integrity
120427,27,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120726,26,Mashonaland Central,Shamva,,1207,12,New ward
120710,10,Mashonaland Central,Shamva,,1207,12,Old ward
120708,8,Mashonaland Central,Shamva,,1207,12,Old ward
120105,5,Mashonaland Central,Bindura,,1201,12,New ward
120714,14,Mashonaland Central,Shamva,,1207,12,Old ward
120428,28,Mashonaland Central,Mazowe,,1204,12,Old ward
120723,23,Mashonaland Central,Shamva,,1207,12,Old ward
120728,28,Mashonaland Central,Shamva,,1207,12,New ward
120101,1,Mashonaland Central,Bindura,,1201,12,Boundary adjusted
120408,8,Mashonaland Central,Mazowe,,1204,12,Old ward
120709,9,Mashonaland Central,Shamva,,1207,12,Old ward
130904,4,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130504,4,Mashonaland East,Mudzi,,1305,13,Old ward
130903,3,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130505,5,Mashonaland East,Mudzi,,1305,13,Old ward
130506,6,Mashonaland East,Mudzi,,1305,13,Old ward
130512,12,Mashonaland East,Mudzi,,1305,13,Old ward
120715,15,Mashonaland Central,Shamva,,1207,12,Old ward
120104,4,Mashonaland Central,Bindura,,1201,12,Boundary adjusted
120103,3,Mashonaland Central,Bindura,,1201,12,New ward
120410,10,Mashonaland Central,Mazowe,,1204,12,Old ward
120409,9,Mashonaland Central,Mazowe,,1204,12,Old ward
120425,25,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120413,13,Mashonaland Central,Mazowe,,1204,12,Old ward
120412,12,Mashonaland Central,Mazowe,,1204,12,Old ward
120411,11,Mashonaland Central,Mazowe,,1204,12,Old ward
120711,11,Mashonaland Central,Shamva,,1207,12,Old ward
130508,8,Mashonaland East,Mudzi,,1305,13,Old ward
130507,7,Mashonaland East,Mudzi,,1305,13,Old ward
130516,16,Mashonaland East,Mudzi,,1305,13,Old ward
130703,3,Mashonaland East,Mutoko,,1307,13,Old ward
130704,4,Mashonaland East,Mutoko,,1307,13,Old ward
130707,7,Mashonaland East,Mutoko,,1307,13,Old ward
130702,2,Mashonaland East,Mutoko,,1307,13,Old ward
130515,15,Mashonaland East,Mudzi,,1305,13,Old ward
130518,18,Mashonaland East,Mudzi,,1305,13,New ward
130513,13,Mashonaland East,Mudzi,,1305,13,Old ward
130709,9,Mashonaland East,Mutoko,,1307,13,Old ward
130706,6,Mashonaland East,Mutoko,,1307,13,Old ward
120713,13,Mashonaland Central,Shamva,,1207,12,Old ward
130911,11,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
120120,20,Mashonaland Central,Bindura,,1201,12,New ward
120712,12,Mashonaland Central,Shamva,,1207,12,Old ward
120727,27,Mashonaland Central,Shamva,,1207,12,New ward
120414,14,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120418,18,Mashonaland Central,Mazowe,,1204,12,Old ward
120432,32,Mashonaland Central,Mazowe,,1204,12,New ward
130727,27,Mashonaland East,Mutoko,,1307,13,Old ward
130720,20,Mashonaland East,Mutoko,,1307,13,Old ward
130721,21,Mashonaland East,Mutoko,,1307,13,Old ward
120121,21,Mashonaland Central,Bindura,,1201,12,New ward
120119,19,Mashonaland Central,Bindura,,1201,12,New ward
120415,15,Mashonaland Central,Mazowe,,1204,12,Old ward
120107,7,Mashonaland Central,Bindura,,1201,12,Boundary adjusted
120110,10,Mashonaland Central,Bindura,,1201,12,Old ward
122101,1,Mashonaland Central,Bindura Urban,,1221,12,Old ward
120729,29,Mashonaland Central,Shamva,,1207,12,New ward
120722,22,Mashonaland Central,Shamva,,1207,12,Old ward
122102,2,Mashonaland Central,Bindura Urban,,1221,12,Old ward
120106,6,Mashonaland Central,Bindura,,1201,12,Old ward
120113,13,Mashonaland Central,Bindura,,1201,12,Old ward
130728,28,Mashonaland East,Mutoko,,1307,13,Old ward
130722,22,Mashonaland East,Mutoko,,1307,13,Old ward
110702,2,Manicaland,Nyanga,,1107,11,Old ward
120109,9,Mashonaland Central,Bindura,,1201,12,Old ward
120625,25,Mashonaland Central,Rushinga,,1206,12,New ward
110701,1,Manicaland,Nyanga,,1107,11,Old ward
120718,18,Mashonaland Central,Shamva,,1207,12,Old ward
120720,20,Mashonaland Central,Shamva,,1207,12,Boundary adjusted
120108,8,Mashonaland Central,Bindura,,1201,12,Old ward
142402,2,Mashonaland West,Kariba Urban,,1424,14,Old ward
120114,14,Mashonaland Central,Bindura,,1201,12,Old ward
120522,22,Mashonaland Central,Mount Darwin,,1205,12,Old ward
142401,1,Mashonaland West,Kariba Urban,,1424,14,Old ward
120422,22,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
120435,35,Mashonaland Central,Mazowe,,1204,12,New ward
120421,21,Mashonaland Central,Mazowe,,1204,12,Boundary adjusted
122103,3,Mashonaland Central,Bindura Urban,,1221,12,Old ward
122112,12,Mashonaland Central,Bindura Urban,,1221,12,New ward
142403,3,Mashonaland West,Kariba Urban,,1424,14,Old ward
120226,26,Mashonaland Central,Centenary,,1202,12,New ward
122111,11,Mashonaland Central,Bindura Urban,,1221,12,New ward
122106,6,Mashonaland Central,Bindura Urban,,1221,12,Old ward
120717,17,Mashonaland Central,Shamva,,1207,12,Old ward
120215,15,Mashonaland Central,Centenary,,1202,12,Old ward
120706,6,Mashonaland Central,Shamva,,1207,12,Old ward
120707,7,Mashonaland Central,Shamva,,1207,12,Boundary adjusted
122104,4,Mashonaland Central,Bindura Urban,,1221,12,Boundary adjusted
122105,5,Mashonaland Central,Bindura Urban,,1221,12,Old ward
122107,7,Mashonaland Central,Bindura Urban,,1221,12,Old ward
120719,19,Mashonaland Central,Shamva,,1207,12,Boundary adjusted
130511,11,Mashonaland East,Mudzi,,1305,13,Old ward
130517,17,Mashonaland East,Mudzi,,1305,13,Old ward
120601,1,Mashonaland Central,Rushinga,,1206,12,Old ward
130510,10,Mashonaland East,Mudzi,,1305,13,Old ward
130502,2,Mashonaland East,Mudzi,,1305,13,Old ward
130902,2,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
130901,1,Mashonaland East,Uzumba Maramba Pfungwe,,1309,13,Old ward
120618,18,Mashonaland Central,Rushinga,,1206,12,Old ward
